scan,pressure,temperature,salinity,sigmaTheta
1745,0.5,13.0792,28.4392,21.3019
3185,1.0,12.9554,28.1506,21.1025
3119,1.5,13.0421,28.4339,21.3051
3128,2.0,13.2801,28.9927,21.6914
3138,2.5,13.5665,29.2777,21.8561
3147,3.0,13.8365,29.4481,21.9343
3157,3.5,14.0908,29.5681,21.9762
3167,4.0,14.1624,29.6109,21.9948
3177,4.5,14.1811,29.6254,22.0022
3187,5.0,14.182,29.631,22.0064
3196,5.5,14.1822,29.6343,22.0089
3207,6.0,14.1831,29.6442,22.0163
3218,6.5,14.181,29.647,22.0189
3229,7.0,14.1784,29.6473,22.0197
3240,7.5,14.1754,29.6463,22.0196
3252,8.0,14.1681,29.6456,22.0205
3265,8.5,14.1573,29.6509,22.0268
3279,9.0,14.1751,29.6638,22.0331
3295,9.5,14.1954,29.6787,22.0405
3308,10.0,14.2176,29.6948,22.0485
3319,10.5,14.267000000000001,29.7468,22.0785
3328,11.0,14.2412,29.7669,22.0993
3337,11.5,14.164000000000001,29.7844,22.1284
3345,12.0,14.1688,29.8248,22.1586
3352,12.5,14.2682,29.8986,22.1953
3358,13.0,14.3205,29.9237,22.204
3365,13.5,14.4092,29.9874,22.235
3373,14.0,14.5077,30.0406,22.2558
3380,14.5,14.5385,30.0657,22.2688
3389,15.0,14.4925,30.0737,22.2844
3397,15.5,14.3932,30.0981,22.3237
3406,16.0,14.3351,30.1288,22.3592
3416,16.5,14.3096,30.1407,22.3736
3425,17.0,14.2949,30.1543,22.3871
3433,17.5,14.2727,30.1833,22.414
3441,18.0,14.2504,30.2136,22.4419
3449,18.5,14.2211,30.2283,22.4592
3457,19.0,14.2145,30.2318,22.4633
3465,19.5,14.1932,30.2435,22.4766
3473,20.0,14.165,30.2506,22.4879
3481,20.5,14.061,30.267,22.5215
3488,21.0,13.9389,30.2926,22.5659
3496,21.5,13.8162,30.3261,22.6163
3504,22.0,13.5318,30.3791,22.7137
3511,22.5,13.1033,30.427,22.8342
3519,23.0,12.7166,30.4837,22.951999999999998
3527,23.5,12.3078,30.5154,23.053
3535,24.0,12.0882,30.5396,23.1123
3543,24.5,11.3796,30.5574,23.2529
3551,25.0,10.8287,30.6519,23.421999999999997
3559,25.5,10.4562,30.7008,23.523000000000003
3568,26.0,9.9288,30.7075,23.6144
3576,26.5,9.1754,30.7558,23.7706
3584,27.0,8.8108,30.7831,23.8471
3593,27.5,8.6351,30.7899,23.8786
3601,28.0,8.3089,30.785999999999998,23.9229
3609,28.5,7.791,30.8045,24.0104
3616,29.0,7.4091,30.8373,24.088
3624,29.5,7.3051,30.8482,24.1105
3632,30.0,7.1166,30.8416,24.1301
3641,30.5,6.7064,30.8651,24.2011
3649,31.0,6.4436,30.8855,24.25
3658,31.5,6.3212,30.8947,24.2722
3667,32.0,6.2393,30.9036,24.2891
3678,32.5,6.1348,30.9146,24.3103
3690,33.0,6.0073,30.9282,24.3362
3700,33.5,5.8696,30.9337,24.3567
3711,34.0,5.7378,30.9505,24.3852
3722,34.5,5.6977,30.9575,24.3953
3733,35.0,5.6101,30.9671,24.4129
3744,35.5,5.5516,30.9754,24.4261
3755,36.0,5.4824,30.9778,24.4357
3766,36.5,5.3678,30.9871,24.4558
3777,37.0,5.2921,30.9966,24.4716
3788,37.5,5.1848,31.011,24.4948
3798,38.0,5.119,31.0201,24.5091
3808,38.5,5.0777,31.0242,24.5168
3818,39.0,5.011,31.0276,24.5266
3828,39.5,4.8753,31.0383,24.5494
3838,40.0,4.7847,31.0454,24.5645
3848,40.5,4.7151,31.046,24.5721
3858,41.0,4.5768,31.055,24.5933
3867,41.5,4.4925,31.0682,24.6122
3877,42.0,4.4662,31.0739,24.6194
3886,42.5,4.4112,31.0795,24.6294
3895,43.0,4.3159,31.0881,24.6456
3903,43.5,4.2443,31.0973,24.6599
3912,44.0,4.2169,31.0991,24.664
3920,44.5,4.1659,31.1048,24.6734
3929,45.0,4.1223,31.1106,24.6822
3937,45.5,4.101,31.1128,24.686
3946,46.0,4.0874,31.1141,24.6884
3954,46.5,4.0585,31.1189,24.6949
3963,47.0,4.0473,31.1206,24.6973
3971,47.5,4.0382,31.1218,24.6992
3979,48.0,4.0259,31.1219,24.7004
3988,48.5,3.9944,31.1259,24.7066
3997,49.0,3.9745,31.1293,24.7111
4006,49.5,3.9610000000000003,31.131,24.7137
4014,50.0,3.9517,31.1331,24.7163
4023,50.5,3.9461,31.1344,24.7179
4032,51.0,3.9359,31.1361,24.7201
4041,51.5,3.9276,31.1368,24.7215
4049,52.0,3.9163,31.1384,24.7238
4058,52.5,3.9104,31.139,24.7248
4066,53.0,3.9004,31.1408,24.7272
4075,53.5,3.8964,31.1413,24.728
4084,54.0,3.8917,31.142,24.7289
4092,54.5,3.8852,31.142,24.7295
4101,55.0,3.8757,31.1438,24.7319
4109,55.5,3.8655,31.1449,24.7337
4117,56.0,3.8567,31.1462,24.7356
4125,56.5,3.8469,31.1472,24.7373
4134,57.0,3.8395,31.1486,24.739
4142,57.5,3.8359,31.1487,24.7395
4151,58.0,3.8261,31.15,24.7414
4159,58.5,3.8083,31.1526,24.7451
4168,59.0,3.8005,31.154,24.7469
4177,59.5,3.7978,31.1541,24.7473
4186,60.0,3.7964,31.1544,24.7477
4195,60.5,3.7956,31.1551,24.7483
4203,61.0,3.7939999999999996,31.1553,24.7486
4212,61.5,3.7905,31.1559,24.7494
4222,62.0,3.7903,31.1557,24.7493
4231,62.5,3.7902,31.1558,24.7493
4240,63.0,3.7901,31.1559,24.7494
4249,63.5,3.7898,31.1557,24.7493
4258,64.0,3.787,31.1558,24.7497
4267,64.5,3.7822,31.1565,24.7507
4276,65.0,3.7759,31.1581,24.7525
4285,65.5,3.7741,31.1582,24.7527
4294,66.0,3.7726,31.1581,24.7528
4303,66.5,3.7676,31.1591,24.7541
4312,67.0,3.7666,31.1592,24.7542
4321,67.5,3.7658,31.1593,24.7544
4331,68.0,3.7621,31.16,24.7553
4365,68.5,3.7612,31.1601,24.7555
